Movie_Title,Release_Date,Genre,,Director,Cast,Budget,BoxOfficeRevenue
Boyhood,1/19/2014,Drama,,Richard Linklater,Ethan Hawke,"$4,000,000.00 ","$44,500,000.00 "
Brick Mansions,4/23/2014,Action,,Camille Delamarre,Paul Walker,"$23,000,000.00 ","$69,000,000.00 "
Bridge of Spies,10/4/2015,Drama,,Steven Spielberg,Tom Hanks,"$40,000,000.00 ","$165,500,000.00 "
Brooklyn,1/26/2015,Drama,,John Crowley,Saoirse Ronan,"$11,000,000.00 ","$62,100,000.00 "
Bullet to the Head,2/1/2013,Crime,,Walter Hill,Sylvester Stallone,"$55,000,000.00 ","$21,900,000.00 "
Burnt,10/6/2015,Comedy,,John Wells,Bradley Cooper,"$20,000,000.00 ","$36,600,000.00 "
By the Sea,11/5/2015,Drama,,Angelina Jolie,Angelina Jolie,"$10,000,000.00 ","$3,300,000.00 "
Captain America: The Winter Soldier,3/13/2014,Action,,Anthony Russo,Chris Evans,"$170,000,000.00 ","$714,400,000.00 "
Captive,9/18/2015,Crime,,Jerry Jameson,David Oyelowo,"$2,000,000.00 ","$2,800,000.00 "
Carol,5/17/2015,Drama,,Todd Haynes,Cate Blanchett,"$11,800,000.00 ","$40,300,000.00 "
Central Intelligence,6/10/2016,Action,,Rawson Marshall Thurber,Dwayne Johnson,"$50,000,000.00 ","$212,200,000.00 "
Cesar Chavez,2/12/2014,Drama,,Diego Luna,Michael Peña,"$10,000,000.00 ","$6,700,000.00 "
Chappie,3/4/2015,Sci-Fi,,Neill Blomkamp,Sharlto Copley,"$49,000,000.00 ","$102,100,000.00 "
Chasing Mavericks,10/26/2012,Biography,,Curtis Hanson,Gerard Butler,"$20,000,000.00 ","$8,300,000.00 "
Chef,3/7/2014,Comedy,,Jon Favreau,Jon Favreau,"$11,000,000.00 ","$46,000,000.00 "
Chernobyl Diaries,5/25/2012,Horror,,Bradley Parker,Jonathan Sadowski,"$1,000,000.00 ","$37,200,000.00 "
Child 44,4/17/2015,Drama,,Daniel Espinosa,Tom Hardy,"$50,000,000.00 ","$13,000,000.00 "
Chronicle,2/3/2012,Sci-Fi,,Josh Trank,Dane DeHaan,"$12,000,000.00 ","$126,600,000.00 "
Cloud Atlas,10/26/2012,Drama,,Tom Tykwer,Tom Hanks,"$128,500,000.00 ","$130,500,000.00 "
Cloudy with a Chance of Meatballs 2,9/27/2013,Family,,Cody Cameron,Anna Faris,"$78,000,000.00 ","$274,300,000.00 "
Concussion,12/25/2015,Drama,,Peter Landesman,Will Smith,"$57,000,000.00 ","$50,300,000.00 "
Creed,11/25/2015,Drama,,Ryan Coogler,Michael B. Jordan,"$40,000,000.00 ","$173,600,000.00 "
Criminal,4/15/2016,Action,,Ariel Vromen,Kevin Costner,"$31,500,000.00 ","$35,600,000.00 "
Crimson Peak,10/16/2015,Horror,,Guillermo del Toro,Mia Wasikowska,"$55,000,000.00 ","$74,700,000.00 "
Daddy's Home,12/25/2015,Comedy,,Sean Anders,Will Ferrell,"$69,000,000.00 ","$240,400,000.00 "
Danny Collins,3/20/2015,Comedy,,Dan Fogelman,Al Pacino,"$10,000,000.00 ","$8,200,000.00 "
Dark Shadows,5/11/2012,Comedy,,Tim Burton,Johnny Depp,"$150,000,000.00 ","$245,500,000.00 "
Dark Skies,2/22/2013,Horror,,Scott Charles Stewart,Keri Russell,"$3,500,000.00 ","$26,400,000.00 "
Dawn of the Planet of the Apes,6/26/2014,Action,,Matt Reeves,Andy Serkis,"$235,000,000.00 ","$710,600,000.00 "
Dead Man Down,3/8/2013,Action,,Niels Arden Oplev,Colin Farrell,"$30,000,000.00 ","$18,100,000.00 "
Deadpool,2/8/2016,Action,,Tim Miller,Ryan Reynolds,"$58,000,000.00 ","$782,600,000.00 "
Declaration of War,1/27/2012,Romance,,Valérie Donzelli,Valérie Donzelli (director),"$1,500,000.00 ","$6,500,000.00 "
Deliver Us from Evil,7/2/2014,Horror,,Scott Derrickson,Eric Bana,"$30,000,000.00 ","$87,900,000.00 "
Despicable Me 2,6/20/2013,Comedy,,Chris Renaud,Steve Carell,"$76,000,000.00 ","$970,800,000.00 "
Devil's Due,1/17/2014,Horror,,Matt Bettinelli-Olpin,Allison Miller,"$7,000,000.00 ","$36,900,000.00 "
Diary of a Wimpy Kid: Dog Days,8/3/2012,Comedy,,David Bowers,Zachary Gordon,"$22,000,000.00 ","$77,100,000.00 "
Divergent,3/18/2014,Sci-Fi,,Neil Burger,Shailene Woodley,"$85,000,000.00 ","$288,900,000.00 "
Django Unchained,12/25/2012,Action,,Quentin Tarantino,Christoph Waltz,"$100,000,000.00 ","$425,400,000.00 "
Dolphin Tale 2,9/12/2014,Family,,Charles Martin Smith,Winter,"$36,000,000.00 ","$57,800,000.00 "
Don't Breathe,8/26/2016,Thriller,,Fede Alvarez,Dylan Minnette,"$9,900,000.00 ","$28,300,000.00 "
Dr. Seuss' The Lorax,3/2/2012,Family,,Chris Renaud,Danny DeVito,"$70,000,000.00 ","$348,800,000.00 "
Dracula Untold,10/10/2014,Drama,,Gary Shore,Luke Evans,"$70,000,000.00 ","$217,100,000.00 "
Draft Day,4/7/2014,Drama,,Ivan Reitman,Kevin Costner,"$25,000,000.00 ","$29,500,000.00 "
Dragon Blade,2/18/2015,Action,,Daniel Lee,Jackie Chan,"$65,000,000.00 ","$120,000,000.00 "
Dumb and Dumber To,11/14/2014,Comedy,,Peter Farrelly,Jim Carrey,"$50,000,000.00 ","$169,800,000.00 "
Earth to Echo,6/14/2014,Sci-Fi,,Dave Green,Astro,"$13,000,000.00 ","$45,300,000.00 "
Eddie the Eagle,2/26/2016,Drama,,Dexter Fletcher,Taron Egerton,"$23,000,000.00 ","$46,200,000.00 "
Edge of Tomorrow,5/28/2014,Action,,Doug Liman,Tom Cruise,"$178,000,000.00 ","$370,500,000.00 "
Elysium,8/9/2013,Sci-Fi,,Neill Blomkamp,Matt Damon,"$115,000,000.00 ","$286,100,000.00 "
Embrace of the Serpent,5/15/2015,Adventure,,Ciro Guerra,Jan Bijvoet,"$1,400,000.00 ","$2,800,000.00 "
End of Watch,9/21/2012,Action,,David Ayer,Jake Gyllenhaal,"$7,000,000.00 ","$48,100,000.00 "
Enough Said,9/20/2013,Comedy,,Nicole Holofcener,James Gandolfini,"$8,000,000.00 ","$25,300,000.00 "
Entourage,5/27/2015,Comedy,,Doug Ellin,Adrian Grenier,"$39,000,000.00 ","$49,300,000.00 "
Epic,5/24/2013,Adventure,,Chris Wedge,Colin Farrell,"$93,000,000.00 ","$268,400,000.00 "
Escape from Planet Earth,2/15/2013,Comedy,,Cal Brunker,Brendan Fraser,"$40,000,000.00 ","$74,600,000.00 "
Evil Dead,4/5/2013,Horror,,Fede Alvarez,Jane Levy,"$17,000,000.00 ","$97,500,000.00 "
Ex Machina,1/21/2015,Sci-Fi,,Alex Garland,Domhnall Gleeson,"$15,000,000.00 ","$36,900,000.00 "
Eye in the Sky,9/11/2015,Thriller,,Gavin Hood,Helen Mirren,"$13,000,000.00 ","$32,800,000.00 "
Fantastic Four,8/4/2015,Action,,Josh Trank,Miles Teller,"$120,000,000.00 ","$168,000,000.00 "
Fast & Furious 6,5/17/2013,Action,,Justin Lin,Vin Diesel,"$160,000,000.00 ","$788,700,000.00 "
Flight,11/2/2012,Drama,,Robert Zemeckis,Denzel Washington,"$31,000,000.00 ","$161,800,000.00 "
Florence Foster Jenkins,4/27/2016,Biography,,Stephen Frears,Meryl Streep,"$19,000,000.00 ","$31,700,000.00 "
Frances Ha,5/17/2013,Drama,,Noah Baumbach,Greta Gerwig,"$3,000,000.00 ","$11,300,000.00 "
Free State of Jones,6/16/2016,Drama,,Gary Ross,Matthew McConaughey,"$50,000,000.00 ","$21,200,000.00 "
Friends with Kids,3/9/2012,Comedy,,Jennifer Westfeldt,Adam Scott,"$10,000,000.00 ","$12,200,000.00 "
Fun Size,10/26/2012,Comedy,,Josh Schwartz,Victoria Justice,"$14,000,000.00 ","$11,400,000.00 "
Fury,10/15/2014,Action,,David Ayer,Brad Pitt,"$68,000,000.00 ","$211,800,000.00 "
G.I. Joe: Retaliation,3/27/2013,Action,,Jon Chu,Channing Tatum,"$130,000,000.00 ","$375,700,000.00 "
Gangster Squad,1/11/2013,Action,,Ruben Fleischer,Ryan Gosling,"$75,000,000.00 ","$105,200,000.00 "
Get Hard,3/27/2015,Comedy,,Etan Cohen,Will Ferrell,"$40,000,000.00 ","$111,800,000.00 "
Get on Up,8/1/2014,Drama,,Tate Taylor,Chadwick Boseman,"$30,000,000.00 ","$33,400,000.00 "
Getaway,8/30/2013,Action,,Courtney Solomon,Ethan Hawke,"$18,000,000.00 ","$11,800,000.00 "
Ghost Rider: Spirit of Vengeance,2/17/2012,Action,,Mark Neveldine,Nicolas Cage,"$57,000,000.00 ","$132,600,000.00 "
Ghostbusters,7/15/2016,Comedy,,Paul Feig,Melissa McCarthy,"$144,000,000.00 ","$217,500,000.00 "
God's Not Dead,3/21/2014,Religious,,Harold Cronk,Willie Robertson,"$2,000,000.00 ","$62,600,000.00 "
God's Not Dead 2,4/1/2016,Religious,,Harold Cronk,Melissa Joan Hart,"$5,000,000.00 ","$23,500,000.00 "
Gods of Egypt,2/25/2016,Action,,Alex Proyas,Geoffrey Rush,"$140,000,000.00 ","$145,700,000.00 "
Godzilla,5/8/2014,Action,,Gareth Edwards,Aaron Taylor-Johnson,"$160,000,000.00 ","$529,000,000.00 "
Gone Girl,9/26/2014,Mystery,,David Fincher,Ben Affleck,"$61,000,000.00 ","$369,300,000.00 "
Good Deeds,2/24/2012,Romance,,Tyler Perry,Tyler Perry,"$14,000,000.00 ","$35,600,000.00 "
Goosebumps,10/5/2015,Action,,Rob Letterman,Jack Black,"$84,000,000.00 ","$150,200,000.00 "
Grown Ups 2,7/12/2013,Comedy,,Dennis Dugan,Adam Sandler,"$80,000,000.00 ","$247,000,000.00 "
"Hail, Caesar!",2/5/2016,Comedy,,Joel and Ethan Coen,Josh Brolin,"$22,000,000.00 ","$22,000,000.00 "
Hands of Stone,8/26/2016,Biography,,Jonathan Jakubowicz,Édgar Ramírez,"$20,000,000.00 ","$1,700,000.00 "
Hansel and Gretel: Witch Hunters,1/17/2013,Action,,Tommy Wirkola,Jeremy Renner,"$50,000,000.00 ","$226,300,000.00 "
Heaven Is for Real,4/16/2014,Religious,,Randall Wallace,Greg Kinnear,"$12,000,000.00 ","$101,300,000.00 "
Here Comes the Boom,10/12/2012,Comedy,,Frank Coraci,Kevin James,"$42,000,000.00 ","$73,100,000.00 "
Hit and Run,8/22/2012,Action,,Dax Shepard,Dax Shepard,"$2,000,000.00 ","$14,500,000.00 "
Hitman: Agent 47,8/21/2015,Action,,Aleksander Bach,Rupert Friend,"$35,000,000.00 ","$82,300,000.00 "
Home,3/7/2015,Animation,,Tim Johnson,Jim Parsons,"$135,000,000.00 ","$386,000,000.00 "
Hope Springs,8/8/2012,Romance,,David Frankel,Meryl Streep,"$30,000,000.00 ","$114,300,000.00 "
Horrible Bosses 2,11/26/2014,Comedy,,Sean Anders,Jason Bateman,"$57,000,000.00 ","$107,700,000.00 "
Hot Pursuit,5/8/2015,Action,,Anne Fletcher,Reese Witherspoon,"$35,000,000.00 ","$51,700,000.00 "
Hotel Transylvania,9/28/2012,Fantasy,,Genndy Tartakovsky,Adam Sandler,"$85,000,000.00 ","$358,400,000.00 "
Hotel Transylvania 2,9/25/2015,Fantasy,,Genndy Tartakovsky,Adam Sandler,"$80,000,000.00 ","$473,000,000.00 "
How to Train Your Dragon 2,5/16/2014,Family,,Dean DeBlois,Jay Baruchel,"$145,000,000.00 ","$621,500,000.00 "
I,1/14/2015,Romance,,S. Shankar,Vikram,"$15,000,000.00 ","$65,000,000.00 "
I Saw the Light,9/11/2015,Drama,,Marc Abraham ,Elizabeth Olsen,"$13,000,000.00 ","$2,600,000.00 "
Ice Age: Collision Course,7/22/2016,Adventure,,Mike Thurmeier,Ray Romano,"$105,000,000.00 ","$368,300,000.00 "
Ice Age: Continental Drift,7/13/2012,Adventure,,Steve Martino,Ray Romano,"$95,000,000.00 ","$877,000,000.00 "
Identity Thief,2/8/2013,Action,,Seth Gordon,Jason Bateman,"$35,000,000.00 ","$174,000,000.00 "
If I Stay,8/18/2014,Drama,,R. J. Cutler,Chloë Grace Moretz,"$11,000,000.00 ","$78,900,000.00 "
In the Heart of the Sea,12/11/2015,Biography,,Ron Howard,Chris Hemsworth,"$100,000,000.00 ","$93,900,000.00 "
Independence Day: Resurgence,6/20/2016,Action,,Roland Emmerich,Jeff Goldblum,"$165,000,000.00 ","$382,300,000.00 "
Insidious: Chapter 2,9/13/2013,Horror,,James Wan,Patrick Wilson,"$5,000,000.00 ","$161,900,000.00 "
Insidious: Chapter 3,6/5/2015,Horror,,Leigh Whannell,Dermot Mulroney,"$11,000,000.00 ","$113,000,000.00 "
Interstellar,10/26/2014,Sci-Fi,,Christopher Nolan,Matthew McConaughey,"$165,000,000.00 ","$675,100,000.00 "
Into the Storm,8/8/2014,Adventure,,Steven Quale,Richard Armitage,"$50,000,000.00 ","$161,700,000.00 "
Iron Sky,7/25/2012,Comedy,,Timo Vuorensola,Julia Dietze,"$7,500,000.00 ","$8,100,000.00 "
Irrational Man,5/16/2015,Mystery,,Woody Allen,Joaquin Phoenix,"$11,000,000.00 ","$27,400,000.00 "
Jack Reacher,12/21/2012,Action,,Christopher McQuarrie,Tom Cruise,"$60,000,000.00 ","$218,300,000.00 "
Jack Ryan: Shadow Recruit,1/15/2014,Action,,Kenneth Branagh,David Koepp,"$60,000,000.00 ","$135,500,000.00 "
Jane Got a Gun,1/29/2016,Action,,Gavin O'Connor,Natalie Portman,"$25,000,000.00 ","$3,000,000.00 "
Jason Bourne,7/29/2016,Action,,Paul Greengrass,Matt Damon,"$120,000,000.00 ","$347,900,000.00 "
"Jeff, Who Lives at Home",3/16/2012,Comedy,,Jay Duplass,Jason Segel,"$7,500,000.00 ","$7,500,000.00 "
Jem and the Holograms,10/23/2015,Musical,,Jon M. Chu,Aubrey Peeples,"$5,000,000.00 ","$2,300,000.00 "
Jersey Boys,6/5/2014,Drama,,Clint Eastwood,John Lloyd Young,"$58,600,000.00 ","$67,700,000.00 "
Jobs,8/16/2013,Biography,,Joshua Michael Stern,Ashton Kutcher,"$12,000,000.00 ","$35,900,000.00 "
John Wick,10/13/2014,Action,,Chad Stahelski,Keanu Reeves,"$20,000,000.00 ","$86,000,000.00 "
Journey 2: The Mysterious Island,2/10/2012,Adventure,,Brad Peyton,Dwayne Johnson,"$79,000,000.00 ","$335,300,000.00 "
Joy,12/25/2015,Comedy,,David O. Russell,Jennifer Lawrence,"$60,000,000.00 ","$101,100,000.00 "
Keanu,4/29/2016,Comedy,,Peter Atencio,Keegan-Michael Key,"$15,000,000.00 ","$20,700,000.00 "
Kill the Messenger,10/10/2014,Crime,,Michael Cuesta,Jeremy Renner,"$5,000,000.00 ","$2,500,000.00 "
Killing Them Softly,11/30/2012,Crime,,Andrew Dominik,Brad Pitt,"$15,000,000.00 ","$37,900,000.00 "
Kingsman: The Secret Service,12/13/2014,Action,,Matthew Vaughn,Colin Firth,"$94,000,000.00 ","$414,400,000.00 "
Krampus,12/4/2015,Horror,,Michael Dougherty,Emjay Anthony,"$15,000,000.00 ","$61,500,000.00 "
Kubo and the Two Strings,8/19/2016,Fantasy,,Travis Knight,Art Parkinson,"$60,000,000.00 ","$27,600,000.00 "
Kung Fu Panda 3,1/23/2016,Action,,Jennifer Yuh Nelson,Jack Black,"$145,000,000.00 ","$519,900,000.00 "
Lazer Team,1/27/2016,Sci-Fi,,Matt Hullum,Burnie Burns,"$2,400,000.00 ","$1,600,000.00 "
Left Behind,10/3/2014,Religious,,Vic Armstrong,Nicolas Cage,"$16,000,000.00 ","$27,600,000.00 "
Les Misérables,12/25/2012,Musical,,Tom Hooper,Hugh Jackman,"$61,000,000.00 ","$441,800,000.00 "
Let's Be Cops,8/13/2014,Action,,Luke Greenfield,Jake Johnson,"$17,000,000.00 ","$138,200,000.00 "
Life of Pi,11/21/2012,Drama,,Ang Lee,Suraj Sharma,"$120,000,000.00 ","$609,000,000.00 "
Lights Out,7/22/2016,Horror,,David F. Sandberg,Teresa Palmer,"$4,900,000.00 ","$125,900,000.00 "
Lincoln,11/9/2012,Drama,,Steven Spielberg,Daniel Day-Lewis,"$65,000,000.00 ","$275,300,000.00 "
Little Boy,4/24/2015,Drama,,Alejandro Gómez Monteverde,Jakob Salvati,"$20,000,000.00 ","$17,500,000.00 "
Lockout,4/13/2012,Action,,James Mather,Guy Pearce,"$20,000,000.00 ","$32,200,000.00 "
London Has Fallen,3/4/2016,Action,,Babak Najafi,Gerard Butler,"$60,000,000.00 ","$195,700,000.00 "
Looper,9/28/2012,Action,,Rian Johnson,Joseph Gordon-Levitt,"$30,000,000.00 ","$176,500,000.00 "
Love the Coopers,11/4/2015,Romance,,Jessie Nelson,John Goodman,"$24,000,000.00 ","$41,100,000.00 "
Lucy,7/25/2014,Sci-Fi,,Luc Besson,Scarlett Johansson,"$40,000,000.00 ","$463,400,000.00 "
Mad Max: Fury Road,5/7/2015,Action,,George Miller,Tom Hardy,"$150,000,000.00 ","$378,400,000.00 "
Madagascar 3: Europe's Most Wanted,6/8/2012,Comedy,,Eric Darnell,Noah Baumbach(screenplay); Ben Stiller,"$145,000,000.00 ","$746,900,000.00 "
Magic in the Moonlight,7/25/2014,Comedy,,Woody Allen,Emma Stone,"$16,800,000.00 ","$51,000,000.00 "
Mama,1/18/2013,Horror,,Andres Muschietti,Jessica Chastain,"$15,000,000.00 ","$146,400,000.00 "
Man of Steel,6/14/2013,Action,,Zack Snyder,Henry Cavill,"$225,000,000.00 ","$668,000,000.00 "
Man on a Ledge,1/27/2012,Action,,Asger Leth,Sam Worthington,"$42,000,000.00 ","$46,200,000.00 "
Max,6/26/2015,Adventure,,Boaz Yakin,Josh Wiggins,"$20,000,000.00 ","$44,000,000.00 "
Maze Runner: The Scorch Trials,9/18/2015,Sci-Fi,,Wes Ball,Dylan O'Brien,"$61,000,000.00 ","$312,300,000.00 "
Me and Earl and the Dying Girl,1/25/2015,Comedy,,Alfonso Gomez-Rejon,Thomas Mann,"$8,000,000.00 ","$9,100,000.00 "
Me Before You,6/3/2016,Drama,,Thea Sharrock,Emilia Clarke,"$20,000,000.00 ","$196,200,000.00 "
Mechanic: Resurrection,8/26/2016,Action,,Dennis Gansel,Jason Statham,"$40,000,000.00 ","$7,500,000.00 "
Men in Black 3,5/25/2012,Comedy,,Barry Sonnenfeld,Will Smith,"$215,000,000.00 ","$624,000,000.00 "
Midnight Special,2/12/2016,Sci-Fi,,Jeff Nichols,Michael Shannon,"$18,000,000.00 ","$6,200,000.00 "
Miracles from Heaven,3/16/2016,Drama,,Patricia Riggen,Jennifer Garner,"$13,000,000.00 ","$73,600,000.00 "
Mirror Mirror,3/30/2012,Fantasy,,Tarsem Singh,Lily Collins,"$85,000,000.00 ","$183,000,000.00 "
Mission: Impossible – Rogue Nation,7/23/2015,Action,,Christopher McQuarrie,Tom Cruise,"$150,000,000.00 ","$682,300,000.00 "
Moms' Night Out,5/9/2014,Religious,,Andrew Erwin and Jon Erwin,Sarah Drew,"$5,000,000.00 ","$10,500,000.00 "
Money Monster,5/13/2016,Drama,,Jodie Foster,George Clooney,"$27,000,000.00 ","$93,100,000.00 "
Monster Hunt,1/22/2016,Action,,Raman Hui,Bai Baihe,"$56,000,000.00 ","$385,200,000.00 "
Moonrise Kingdom ₪,5/25/2012,Comedy,,Wes Anderson,Jared Gilman,"$16,000,000.00 ","$68,300,000.00 "
Mortdecai,1/23/2015,Action,,David Koepp,Johnny Depp,"$60,000,000.00 ","$47,000,000.00 "
Mother's Day,4/13/2016,Comedy,,Garry Marshall,Jennifer Aniston,"$25,000,000.00 ","$43,800,000.00 "
Mr. Peabody & Sherman,2/7/2014,Family,,Rob Minkoff,Ty Burrell,"$145,000,000.00 ","$275,700,000.00 "
Mud,4/26/2013,Drama,,Jeff Nichols,Matthew McConaughey,"$10,000,000.00 ","$32,600,000.00 "
Mustang,5/19/2015,Drama,,Deniz Gamze Ergüven,Güneş Şensoy,"$1,300,000.00 ","$4,900,000.00 "
My All American,11/13/2015,Biography,,Angelo Pizzo,Aaron Eckhart,"$20,000,000.00 ","$2,200,000.00 "
My Big Fat Greek Wedding 2,3/25/2016,Romance,,Kirk Jones,Nia Vardalos,"$18,000,000.00 ","$88,900,000.00 "
Need for Speed,3/12/2014,Action,,Scott Waugh,Aaron Paul,"$65,000,000.00 ","$203,300,000.00 "
Neighbors,3/8/2014,Comedy,,Nicholas Stoller,Seth Rogen,"$18,000,000.00 ","$270,700,000.00 "
Neighbors 2: Sorority Rising,5/20/2016,Comedy,,Nicholas Stoller,Seth Rogen,"$35,000,000.00 ","$107,900,000.00 "
Nerve,7/27/2016,Thriller,,Henry Joost,Dave Franco,"$20,000,000.00 ","$47,600,000.00 "
Night at the Museum: Secret of the Tomb,12/11/2014,Comedy,,Shawn Levy,Ben Stiller,"$127,000,000.00 ","$363,200,000.00 "
Nightcrawler,9/5/2014,Drama,,Dan Gilroy,Jake Gyllenhaal,"$8,500,000.00 ","$50,300,000.00 "
Nine Lives,8/5/2016,Comedy,,Barry Sonnenfeld,Kevin Spacey,"$30,000,000.00 ","$19,100,000.00 "
No Escape,8/17/2015,Action,,John Erick Dowdle,Owen Wilson,"$5,000,000.00 ","$54,400,000.00 "
No Good Deed,9/12/2014,Crime,,Sam Miller,Idris Elba,"$13,200,000.00 ","$54,300,000.00 "
No One Lives,5/10/2013,Horror,,Ryuhei Kitamura,Luke Evans,"$2,900,000.00 ","$1,000,000.00 "
